row_num,description,category,size,type
443,Missing Not Identifiable class in OOD environment,ML/AI,S,bug
444,Size filter,UI/UX,S,feature
445,"Add column for best_identification to the occurrences view (optional, next to Taxon Determination column)",UI/UX,S,feature
446,Fix missing sessions on occurrences - can we ensure sessions are grouped before processing,Data-Management,M,bug
447,Project ID required when changing name/tags of cluster,Taxonomy,S,bug
448,"How can we highlight anomalies in the capture images (out of schedule, short schedule, strange dates, mixed resolution images)",Analytics/Viz,M,feature
449,Remove "null" that keeps returning to data sync view,UI/UX,XS,bug
450,Add cryptic species status to the taxonomy database: Euceron species should always be determined to genus level,Taxonomy,M,feature
451,The modal window for taxon should keep on the occurrences / other context instead of sending back to taxa list,UI/UX,S,bug
452,Filter/search by previous identifications,UI/UX,M,feature
453,Link to filter taxa by parent (from taxa detail view)?,UI/UX,S,feature
454,Add verification features to gallery view,UI/UX,M,feature
455,Add size fields to the taxonomy database (fallback to parent size category). Avg.,Taxonomy,M,feature
456,Add is_cryptic field (to what rank),Taxonomy,S,feature
457,Script to fix date offsets,Infrastructure,S,improvement
458,"Size estimator with annotations (from normal photos, verified in Bold, iNat)",ML/AI,L,feature
459,Make taxa detail page,UI/UX,M,feature
460,Determine our certainty / uncertainty at predicting that species,ML/AI,M,feature
461,"Analyze morphological traits and temporal patterns, using the data we have",Research,L,research
462,What can we do with the data we have?,Research,M,research
463,"Trait analysis, temporal patterns, biomass, higher rank information, etc",Research,L,research
464,Comparison with traditional monitoring data (BCI),Research,L,research
465,What steps can we take to improve the classifiers over the coming years?,Research,M,research
466,Clearly define the issues we see,Research,S,research
467,Propose projects to work on new methods,Research,M,research
468,Antenna Lite - mobile app for moth traps that automatically registers an annoynmous station,Infrastructure,XL,feature
469,"How to score confidence (hardness to identify visually, how many similar species, the models accuracy on this species, the number and quality of training samples (or type of images) for this species). Do we know about it at all? How likely is the species to occur at the place and time it was observed?",ML/AI,L,research
470,"How to roll up to genus, higher taxon levels",ML/AI,M,research
471,How to choose ID from a track / turboid of multiple images,ML/AI,M,research
472,"How to do process efficiently in batch (similarity model, etc)",ML/AI,L,research
473,"Many to many, storing feature embedding, etc.",ML/AI,M,research
474,"How to incorporate geopriors exactly? Part of model, or post-filtering.",ML/AI,M,research
475,A side goal of the platform is to increase engagement in the observation of insects.,Community,XS,research
476,Enable & expedite new formal research.,Community,XS,research
477,Provide an interface for citizen scientists to learn & contribute.,Community,M,feature
478,Should always be encouraging and pleasurable to use.,UI/UX,XS,improvement
479,Alerts & notifications (region & species),UI/UX,M,feature
480,Integration of final data into iNaturalist & GBIF,Export/Interop,L,feature
481,Non-timeseries data - Microscopy & field photos,Data-Management,L,feature
482,"Other invertebrates - other nocturnals, and day-time polinators",ML/AI,XL,feature
483,Exports & Downloads (Self-service feature remaining),Export/Interop,M,feature
484,"Account Sign-ups (Self-service feature remaining, currently requires admin support)",Onboarding,M,feature
485,Onboarding Flow (Centrally Managed Antenna & UI flow),Onboarding,L,feature
486,AMI Data Companion (for processing batch data offline),Infrastructure,XL,feature
487,Antenna (self-hosted version),Infrastructure,L,feature
488,Quickstart designs/project (Create a quick start project),Onboarding,M,feature
489,Improving/Reducing noise in results displayed by default,ML/AI,L,improvement
490,"Roll up taxon ranks, Adapters, Temperature calibration",ML/AI,M,feature
491,Registration of pipelines (Self-service feature remaining),Infrastructure,M,feature
492,Automating the current interface (prototype),DevEx,L,feature
493,"""Species of Interest"" feature",UI/UX,M,feature
494,"Charts & Trends (Top species, flight chart/flying patterns - high-level summaries)",Analytics/Viz,L,feature
495,Model Registry & Available Pipelines (Registry for models & ML backends),Infrastructure,L,feature
496,"Clear distinction for ""3rd party"" vs. certified models (Antenna logo!)",UI/UX,S,feature
497,Orgs & Per-project permissions (Mohamed's work),Permissions/Auth,L,feature
498,Public splash page/landing page with a demo feature and interest form,UI/UX,M,feature
499,Citizen science page with a downloadable button,UI/UX,S,feature
500,Object detector only works... (implied limitation),ML/AI,M,bug
501,Reset password when not logged in (Unstable/Backend incomplete),Permissions/Auth,S,bug
502,Create a project from scratch (Partially implemented/disabled for most),Onboarding,M,improvement
503,Processing and job failing,Infrastructure,L,bug
504,Taxa page speed (fix in progress) and Species views (too slow),Infrastructure,M,bug
505,"Out-of-Distribution (OOD) feature (Mockups, protocol for detecting new species, feature vectors, Yuyan's model)",ML/AI,L,feature
506,More informative confidence scores (calibrated scores),ML/AI,M,improvement
507,Dataset transparency (show training data species/images for each model),ML/AI,M,feature
508,Build a retraining workflow (use verified data to improve model),ML/AI,L,feature
509,Reprocessing detections with a new classifier,ML/AI,M,feature
510,Order level classifier (Aditya's work),ML/AI,L,feature
511,Species of concern model (invasive & pest species),ML/AI,L,feature
512,"All arthropods model (global insects, spiders, etc)",ML/AI,XL,feature
513,"Speed/Performance (Top priority, scaling up processing)",Infrastructure,XL,improvement
514,Stable production environment with automated backups & good performance,Infrastructure,L,improvement
515,Scaling up infrastructure (robustness),Infrastructure,XL,improvement
516,"Optimization features & ""hardening"" (including Image resizing)",Infrastructure,L,improvement
517,"Training support team documentation/videos (Public/Private Wiki, User Manual)",Documentation,L,documentation
518,"Needs documentation for configuring processing services, pipelines, storage, and data source",Documentation,M,documentation
519,Move to managed hosting (if centralized system is desired),Infrastructure,XL,feature
520,Monetization strategy/pricing (to put into grants),Community,M,research
521,Setup vector database,Infrastructure,M,feature
522,Standardizing the model APIs,Infrastructure,M,improvement
523,Work on integration structure of models and training data,Infrastructure,L,improvement
524,"Review current models (trained when, checklists)",ML/AI,M,improvement
525,Concern about accuracy of species detection/classification,Research,XS,research
526,Interactive tool to manually annotate or correct detections,UI/UX,L,feature
527,Continue to maintain and enhance automated detection and classification,ML/AI,XL,improvement
528,Add fields for barcode bin numbers to assist with species identification,Taxonomy,M,feature
529,Integrate support for barcode bin numbers for species without traditional names,Taxonomy,M,feature
530,Allow users to invite categories,Permissions/Auth,S,feature
531,Allow inviting a collaborator to confirm IDs,Permissions/Auth,M,feature
532,Continue to foster platform's openness and potential for collaboration,Community,XS,improvement
533,Use Google spreadsheets for collaborative updates to species lists and training data,Data-Management,M,feature
534,Clarify that collections are fixed queries until recalculation,Documentation,XS,documentation
535,Make occurrences in collections clickable,UI/UX,S,feature
536,Clarify indication for unprocessed collections,UI/UX,S,improvement
537,Connect comments box,UI/UX,S,bug
538,Fix initial difficulty with configuring Amazon S3 settings,Infrastructure,M,bug
539,Clarify confirmation of moth presence over multiple days,Documentation,XS,documentation
540,Suggests classification of derived data: Detections -> Occurrences -> Species,Data-Management,M,improvement
541,Improve explanations and add more contextual information about displayed data,UI/UX,M,improvement
542,Implement export options,Export/Interop,M,feature
543,Clarify confusion about data flow and image processing integration,Documentation,S,documentation
544,Fix issues with timestamps not being recognized in the current format,Data-Management,M,bug
545,Concern about handling incorrect timestamps from faulty real-time clocks,Research,S,research
546,Provide a more dynamic way to handle sessions and timestamps,Data-Management,M,feature
547,Continue to maintain comprehensive capabilities for managing and analyzing large datasets,Data-Management,XL,improvement
548,Implement method for bulk updating of incorrect timestamps,Data-Management,M,feature
549,Emphasize importance of proving data origin,Documentation,XS,documentation
550,Suggests Zenodo for dataset publishing,Export/Interop,S,feature
551,Plan to review data only at end of deployment,Research,XS,research
552,Clarify saving changes (automatic vs. manual),UI/UX,S,improvement
553,Integrate or share data between software and ARISE,Export/Interop,L,feature
554,Enable remote data transfer from isolated northern deployments,Infrastructure,M,feature
555,Develop dynamic session partitioning for better data visualization and analysis,Data-Management,L,feature
556,Continue to maintain and enhance automatic visualizations and data organization features,Analytics/Viz,L,improvement
557,Show time series of images taken,Analytics/Viz,M,feature
558,Fix incorrect date display for all occurrences,UI/UX,S,bug
559,Fix incorrect date display for occurrences,UI/UX,S,bug
560,Assumption of manual entry for first & last date,Documentation,XS,documentation
561,Expose specific data source subdirectory in Deployment edit,UI/UX,S,feature
562,Fix lack of specific field validation errors when creating deployment,UI/UX,M,bug
563,Add context pictures of devices in the field,Data-Management,M,feature
564,Possibility of shorter deployments,Data-Management,S,improvement
565,Fix issue with re-choosing Site & Device when editing a Deployment,UI/UX,M,bug
566,Allow ability to delete deployments,Data-Management,S,feature
567,Continue to maintain the ability to add and edit information about devices and deployments,Data-Management,M,improvement
568,Fix difficulty in saving deployment without changing a field,UI/UX,S,bug
569,Allow drawing box to add missed moth in session review,UI/UX,M,feature
570,Show all detections regardless of score threshold,UI/UX,S,feature
571,Make detection box directly clickable,UI/UX,S,feature
572,Make all detections visible,UI/UX,S,feature
573,Clarify device and deployment hierarchies with diagrams or text explanations,Documentation,S,documentation
574,Skeptical about speed and accuracy of integrating DNA barcoding data,Research,XS,research
575,Create Wiki manual with specific process notes,Documentation,L,documentation
576,Replicate desktop/offline version export options,Export/Interop,M,feature
577,Confusion about implications of renaming folders and files within the object store,Documentation,XS,documentation
578,Suggest avoiding spaces in folder names for better compatibility,Documentation,XS,documentation579,Continue to foster efficient organization of files and metadata,Data-Management,S,improvement
580,Use hierarchical folders for organizing cropped images by taxonomic order and family,Data-Management,M,feature
581,Back button should retain selected filters,UI/UX,XS,bug
582,Make filters more visible for intuitive understanding,UI/UX,S,improvement
583,Add advanced filtering options,UI/UX,M,feature
584,Need for continuous funding to maintain and expand monitoring projects,Community,XL,research
585,Add more fields for detailed hardware information,Data-Management,S,feature
586,Continue to maintain and enhance the integration of multiple algorithms for species identification,ML/AI,M,improvement
587,Allow viewing IDs by genus/family/etc.,Taxonomy,M,feature
588,Fix missing user name in detail view of identification history,UI/UX,XS,bug
589,Questions threshold logic for family-level identifications,ML/AI,S,research
590,Use clearer link text for viewing source image,UI/UX,XS,improvement
591,Uncertainty about expected image upload count,UI/UX,XS,improvement
592,Provide easier method to export and organize cropped images hierarchically by taxonomy,Export/Interop,M,feature
593,Make thumbnails clickable,UI/UX,XS,feature
594,Fix slower image loading,Infrastructure,S,bug
595,Fix very slow image loading,Infrastructure,S,bug
596,Implement auto-refresh after processing single image,UI/UX,S,feature
597,Processing pipeline for analyzing individual images,ML/AI,M,feature
598,Auto-refresh image after single image job completion,UI/UX,S,feature
599,Increase image resolution threshold to accommodate high-resolution images,Infrastructure,S,feature
600,Fix challenges with uploading large batches of images due to interface limitations,Infrastructure,M,bug
601,Enhance user experience for large image uploads through integration with cloud services,Infrastructure,L,feature
602,Provide instructions for uploading large batches of images using Cyberduck,Documentation,XS,documentation
603,Continue to maintain clear indication of image upload status,UI/UX,S,improvement
604,Clarify header image upload during deployment creation,UI/UX,XS,improvement
605,Continue to maintain filename format check for manual uploads,Data-Management,S,improvement
606,Increase file size limit for uploaded images,Infrastructure,S,feature
607,Implement drag and drop feature for manual uploads,UI/UX,M,feature
608,Continue to maintain the manual upload feature for images,UI/UX,S,improvement
609,Continue to maintain the ability to see detailed information about captured images,UI/UX,S,improvement
610,Integrate with iNaturalist for direct upload and validation of identified species,Export/Interop,L,feature
611,Continue to maintain the clean interface of the software,UI/UX,S,improvement
612,Continue to maintain the intuitive navigation and user-friendly interface,UI/UX,S,improvement
613,Make some interface elements like the filter bar fixed,UI/UX,S,feature
614,Note on slow overall internet affecting performance,Infrastructure,S,research
615,Difficulty with command-line interfaces and IT restrictions,Documentation,M,research
616,Fix gateway timeout not triggering failure in processing,ML/AI,S,bug
617,Fix inconsistent Processed counts in job logs,ML/AI,S,bug
618,Expose deployment drop-down when registering a new job,UI/UX,XS,feature
619,Allow ability to resume job where it failed,ML/AI,M,feature
620,Auto-open status modal when single job is started,UI/UX,XS,feature
621,Importance of long-term data for ecological and taxonomic research,Research,XL,research
622,Implement drag and drop feature for manual uploads,UI/UX,M,feature
623,Support for per-bucket permissions for S3/Swift keys,Infrastructure,M,feature
624,Support for application tokens that are not tied to a specific user,Permissions/Auth,M,feature
625,Order-level classifier (refinement & calibration) and size estimation,ML/AI,L,feature
626,Labs page - Inference app and butterfly experiment,UI/UX,L,feature
627,Stability issues on the platform,Infrastructure,L,bug
628,Species page functionality/improvement,UI/UX,M,improvement
629,Dedicated interface for testing models (e.g. using Streamlit or Solara),DevEx,L,feature
630,Python & R clients to interact with data already in Antenna,DevEx,L,feature
631,Abstracting object store and allowing more uploading from UI and Desktop client,Infrastructure,L,feature
632,Scratch/draft project based on images (upload a folder),Onboarding,M,feature
633,Features for data analysis: Flight charts and maps with data,Analytics/Viz,L,feature
634,DB partitioning exploration and implementation,Infrastructure,L,improvement
635,Distributed data processing (hosting & serving models with multiple workers),Infrastructure,XL,feature
636,Switch to a JS framework in 2026,DevEx,XL,improvement
637,Circle back to OpenAPI docs to allow researchers to query occurrences in R,Documentation,M,documentation
638,Generalized pipeline: General insect detector & Global moth classifier,ML/AI,XL,feature
639,Mandatory Decision: Direction of platform (Client portals vs Central platform),Community,XL,research
640,Allow more CEPHFS shares,Infrastructure,S,feature
641,Processing stability/stabilization,Infrastructure,L,improvement
642,Reworking collections (clarifying dynamic filters vs fixed datasets),Data-Management,L,improvement
643,Processing convenience (buttons for process this night/collection),UI/UX,M,feature
644,Post processing functions – special sauce (small/blurry/tracking),ML/AI,L,feature
645,Showing some evaluation & statistics within the UI,Analytics/Viz,M,feature
646,Tracking Progress: Knowing what's been processed/verified,UI/UX,M,feature
647,Taxonomy management (External sources/managing taxa/lists/synonyms),Taxonomy,L,feature
648,Darwincore export and Export format for ML retraining,Export/Interop,M,feature
649,Research/Document plan for easier data import from cameras/SD cards,Documentation,M,research
650,Importing taxa lists or data processed externally,Data-Management,M,feature
651,Misc. UI gaps: More obvious interlinking between occurrence and session detail,UI/UX,S,improvement
652,Add alerts for species on user watch lists,UI/UX,M,feature
653,Implement enhanced post-processing techniques (moths & insects specific),ML/AI,L,feature
654,Transition to automated and centralized instance management,Infrastructure,XL,improvement
655,Research focus on uncertainty metrics and UI/UX features for predictions,ML/AI,XL,research
656,Add general notifications,UI/UX,M,feature
657,Explore Kubernetes if limited by Docker Swarm,Infrastructure,XL,research
658,Support for web-connected devices (continuous upload & processing),Infrastructure,L,feature
659,Test semi-automated training (active learning) of models,ML/AI,XL,research
660,Add missing fields related to images when exporting to CSV,Export/Interop,S,feature
661,Ability to flag species outside classifier taxonomy,UI/UX,M,feature
662,Restrict to species list (Class masking),ML/AI,M,feature
663,Download X amount of photos for a species list with high confidence,Export/Interop,S,feature
664,Clustering for labeling (vector search backend),ML/AI,L,feature
665,Labeling interface - Bulk labeling from the grid view,UI/UX,M,feature
666,Manually edit bounding box annotations for detections,UI/UX,M,feature
667,New export format geared toward ML with previous predictions/corrected IDs,Export/Interop,M,feature
668,Importing already-processed data into Antenna,Data-Management,L,feature
669,Test sets for standard evaluation of models,ML/AI,M,research
670,Bug: Sign up as new user requires admin support (currently disabled),Permissions/Auth,M,bug
671,Bug: Reset password when not logged in is unstable,Permissions/Auth,S,bug
672,Feature Rollout: Create a project from scratch is partially implemented,Onboarding,M,feature
673,Feature: Configure members for a project is partially implemented,Permissions/Auth,M,feature
674,Needs Documentation: Configure processing services/pipelines and storage,Documentation,S,documentation
675,Post processing UI,UI/UX,L,feature
676,How to trigger post process steps from UI?,UI/UX,M,feature
677,Tracking,ML/AI,M,feature
678,Class masking,ML/AI,M,feature
679,Rank rollups,Taxonomy,M,feature
680,Exports to DARWIN core,Export/Interop,M,feature
681,Publishing Zenodo DOI,Export/Interop,M,feature
682,Use the zero-shot model,ML/AI,L,feature
683,Default filters & project settings,UI/UX,M,feature
684,Pipeline config from UI?,UI/UX,M,feature
685,New project Wizard,Onboarding,L,feature
686,Quick start project / demo,Onboarding,M,feature
687,Project Settings & feature flags,UI/UX,M,feature
688,Import new species & species images,Taxonomy,M,feature
689,The ability to see where the problems are happening,Analytics/Viz,M,feature
690,IMAGE THUMBNAILING - Faster scrubbing (mp4s),Infrastructure,M,improvement
691,Configure members for a project,Permissions/Auth,M,feature
692,Create a project from scratch,Onboarding,M,feature
693,Citizen Science Version/Features,Community,XL,feature
694,Button to publish a single observation to iNaturalist?,Export/Interop,S,feature
695,Create a user for each model on iNaturalist?,Export/Interop,M,feature
696,More inline help for users,Documentation,M,improvement
697,Discussion Collections terminology,UI/UX,S,design
698,Separating workflows per user category,UI/UX,L,design
699,Make session detail more clear,UI/UX,M,improvement
700,Tags for occurrences,Data-Management,M,feature
701,Showing what has been processed,UI/UX,M,feature
702,More prototypes,UI/UX,M,design
703,Getting user personas and user stories on paper,UI/UX,M,design
704,Need tooltips? Walkthrough dialogs?,UI/UX,S,feature
705,Filters vs project settings,UI/UX,S,design
706,Idea on how to disable filters,UI/UX,S,feature
707,Missing Singapore classifier option,ML/AI,XS,bug
708,Still some sessions with unprocessed images,ML/AI,S,bug
709,Missing images,Data-Management,S,bug
710,Switch background tasks from long running to many short,Infrastructure,M,improvement
711,Switch from form data to application/json,Infrastructure,S,improvement
712,Issue of shared credentials,Permissions/Auth,M,bug
713,Cover image fields,UI/UX,XS,feature
714,Reset password when not logged in,Permissions/Auth,S,bug
715,Sign up as new user on the platform,Permissions/Auth,M,bug
716,Data management issues (rotated images/missing metadata/bad data),Data-Management,M,bug
717,h265 encoding with regional resolution,Infrastructure,M,research
718,New home for Antenna docs!,Documentation,S,improvement
719,Place for users to add their experience,Community,M,feature
720,At least one documentation ticket,Documentation,XS,documentation
721,Configure processing services/pipelines,Documentation,S,documentation
722,Configure a storage/data source,Documentation,S,documentation
723,Demonstration for self-installation,Documentation,M,documentation
724,RUNNING ANTENNA LOCALLY,Documentation,S,documentation
725,UI for Project Managers to invite members and assign roles,Permissions/Auth,L,feature
726,Self-service features (using feature-flags/complexity as opt-in),Onboarding,L,feature
727,Use Roles system to hide/show features and default ordering,Permissions/Auth,M,feature
728,Sign up as new user on the platform (Requires admin support),Permissions/Auth,M,bug
729,Create a project from scratch (Partially implemented),Onboarding,M,feature
730,Configure members for a project (Partially implemented),Permissions/Auth,M,feature
731,Ability to delete a site/pipeline/or device type,UI/UX,S,feature
732,Search project option on the main page,UI/UX,S,feature
733,Register new project button hard to find,UI/UX,XS,improvement
734,Transition Sign-Up buttons to Contact Us (Strategic),UI/UX,XS,improvement
735,Processing v2: Move to a distributed task system,Infrastructure,XL,feature
736,Order-level classifier (refinement & calibration),ML/AI,L,feature
737,Size estimation (exposing size in UI/add calibration/incorporate into models),ML/AI,L,feature
738,Summary metrics as you go (for troubleshooting/improving results),Analytics/Viz,M,feature
739,Default to order level & wider metrics,ML/AI,M,improvement
740,Generalized pipeline (General insect detector/Global moth classifier),ML/AI,XL,feature
741,Post processing functions (small/blurry/tracking sequential detections),ML/AI,L,feature
742,Automated Quality Filters: auto-remove blurry/dark/tiny images,ML/AI,M,feature
743,Beyond Species ID: biomass estimation/pixel-to-size calibration/tracking,ML/AI,XL,feature
744,Partner-Specific Pipelines (e.g. dedicated forest pest pipeline),ML/AI,L,feature
745,Data Uploader Tool (desktop app to abstract S3 uploads),Infrastructure,L,feature
746,Research & document plan for easier data import from cameras/SD cards,Documentation,M,research
747,Importing Taxa lists,Taxonomy,M,feature
748,Importing Data processed externally (Detections/Predictions),Data-Management,M,feature
749,Importing Captures (import a list of public HTTP urls),Data-Management,M,feature
750,Darwincore export,Export/Interop,M,feature
751,Export format for ML retraining,Export/Interop,M,feature
752,Separate image uploading from first two steps during deployment registration,UI/UX,S,improvement
753,Sample captures only valid when image file name is in YYYYMMDDHHMMSS format,Data-Management,S,bug
754,Being able to click the save after uploading sample capture images,UI/UX,XS,bug
755,DB Table partitions (Partitioning/Database Scaling/Optimization),Infrastructure,XL,improvement
756,Better db snapshots for automated and manual testing,DevEx,M,improvement
757,Automated backups,Infrastructure,M,feature
758,Multiple environments and auto deployment,DevEx,XL,feature
759,Split up backend modules,DevEx,M,improvement
760,Email sending,Infrastructure,M,feature
761,Image resizing (thumbnailing),Infrastructure,M,feature
762,Complete migration of UI components from raw Radix primitives to shadcn/ui,DevEx,L,improvement
763,Make an instructions file about the frontend overall,Documentation,S,documentation
764,Complete migration from style modules to Tailwind CSS,DevEx,L,improvement
765,Move UI kit back to Antenna repo,DevEx,S,improvement
766,Migrate to React 19,DevEx,M,improvement
767,Streamline form handling across app,DevEx,M,improvement
768,Migrate to Next.js (simplify routing and code splitting),DevEx,XL,improvement
769,End-to-end tests (Cypress/Playwright),DevEx,L,feature
770,Represent Antenna UI in Figma (for high fidelity prototyping),DevEx,M,improvement
771,Upgrade Node.js,DevEx,S,improvement
772,More obvious interlinking between occurrence detail and session detail,UI/UX,S,improvement
773,Consistent saving behavior,UI/UX,M,improvement
774,More quick buttons for processing & collections,UI/UX,S,feature
775,Hovering toolbar in the session detail per occurrence?,UI/UX,M,feature
776,Software incorrectly ID'd moss/bark as moth species with no way to report,UI/UX,S,feature
777,Pipeline tag isn't really clear,UI/UX,XS,improvement
778,Add deployment count column to Device Types list,UI/UX,XS,feature
779,Summary shows capture/hr and sessions/month - suggest other relevant data,Analytics/Viz,S,improvement
780,Image illustrating projects should be scaled to the size of rectangular window,UI/UX,XS,bug
781,Documentation - for users (user guide) and developers,Documentation,L,documentation
782,Use LLM to help with the table of contents for documentation,Documentation,S,improvement
783,Link to documentation (and write documentation),Documentation,M,documentation
784,Reset password when not logged in (Unstable),Permissions/Auth,S,bug
785,Configure processing services for a project (Needs documentation),Documentation,S,documentation
786,Configure pipelines for a project (Needs documentation),Documentation,S,documentation
787,Configure a storage for project (Needs documentation),Documentation,S,documentation
788,Configure a data source for a station (Needs documentation),Documentation,S,documentation
789,Documentation of how to re-train a model with data from Antenna,Documentation,M,documentation
790,Reworking collections (dynamic filters vs fixed datasets),Data-Management,L,improvement
791,Knowing what's been processed (images uploaded/in a project/collection),UI/UX,M,feature
792,Knowing what's been verified (progress bar reflection),UI/UX,M,feature
793,Regex null bug (UI gap),UI/UX,XS,bug
794,Processing Stability & Speed,Infrastructure,L,improvement
795,Project & Team Management (UI & API for managing user roles),Permissions/Auth,L,feature
796,User Account Management (re-enabling self-service sign-up),Permissions/Auth,M,feature
797,Platform Vision/Strategy (defining goals & milestones for 2026),Community,XL,research
798,Data Uploader (easier data import/desktop application),Infrastructure,L,feature
799,Importing Externally Processed Data (Detections/Predictions),Data-Management,M,feature
800,Export Formats (Darwin Core/COCO/YOLO formats),Export/Interop,M,feature
801,Generalized Pipeline (general insect detector/global moth classifier),ML/AI,XL,feature
802,Better Detector/Segmenter (segmentation detector/handling overlapping moths),ML/AI,L,feature
803,Model Management (model orchestration & revision/deploying new models),ML/AI,L,feature
804,Knowing What's Processed (progress bar/how many images processed),UI/UX,M,feature
805,Post-Processing Functions (Class Masking/small/blurry/darkness filter),ML/AI,M,feature
806,Confidence & Uncertainty in UI (displaying species-level accuracy),Analytics/Viz,M,feature
807,Taxonomy Features (adding new species/project-based taxonomy),Taxonomy,L,feature
808,Rank Rollup & Prediction (Taxon rank rollup for low confidence),Taxonomy,M,feature
809,Labeling Interface Improvements (bulk labeling/editing bounding boxes),UI/UX,M,feature
810,Data Visualization (charts/stats/flight charts for taxa),Analytics/Viz,L,feature
811,Documentation (User Guide v1/ML developer guide),Documentation,L,documentation
812,UI Gaps/Fixes (consistent saving/quick buttons/show best detection image),UI/UX,M,improvement
813,Unstable Functions (password reset/sign-up disabled),Permissions/Auth,M,bug
814,Processing Bugs (processing jobs stalling/status updates incorrect),Infrastructure,M,bug
815,Data Integrity Issues (sessions not auto-created/null in data sync view),Data-Management,M,bug
816,Which features before April 2026?,Community,M,research
817,Which need to be self service from a centrally hosted platform?,Community,M,research
818,Which need a planning & prototype sprint,Community,M,research
819,Which features are MVP vs production-ready?,Community,M,research
820,Which features need to be self-service vs admin-only?,Community,M,research
821,Are we trying to make an app for everyone? Supporting 2-3 partners?,Community,M,research
822,Simplicity vs. feature richness,Community,M,research
823,Which partner types? Which partner types need self-service?,Community,M,research
824,NRCAN (government/landscape scale) - custom deployment with support?,Community,M,research
825,Mothitor project/Maxim's projects (research labs) - self-service priority,Community,M,research
826,LepiNoc (citizen science) - different requirements/mobile app,Community,L,research
827,Document full vision of complete AMI solution at scale,Documentation,L,documentation
828,Which features empower & accelerate teams in what they already do?,Community,M,research
829,Documentation & doc links within app,Documentation,M,improvement
830,Role management (what about adding new users?),Permissions/Auth,M,feature
831,Reworking collections - clarifying dynamic filters vs fixed datasets,Data-Management,L,improvement
832,Will we always require collections for processing?,Data-Management,S,research
833,Occurrence collections,Data-Management,M,feature
834,Predefined collections / Dynamic presets,Data-Management,M,feature
835,How can we make collections more natural in the workflow,UI/UX,M,improvement
836,Processing stability,Infrastructure,L,improvement
837,ML Developer & researcher experience for improving ML,DevEx,L,feature
838,Processing convenience (buttons for process this night/collection),UI/UX,S,feature
839,Generalized pipeline - General insect detector & Global moth classifier,ML/AI,XL,feature
840,Post processing functions - special sauce (small/blurry/tracking),ML/AI,L,feature
841,Showing evaluation & statistics within the UI,Analytics/Viz,M,feature
842,Processing stabilization,Infrastructure,L,improvement
843,Knowing what's been processed (images uploaded/in project/collection),UI/UX,M,feature
844,Knowing what's been verified (progress bar reflection),UI/UX,M,feature
845,Taxonomy direction and features (External sources/managing taxa),Taxonomy,L,research
846,Taxonomy - Mapping to algorithms (most important UI feature),Taxonomy,M,feature
847,How much freedom do we give projects & users for Taxonomy,Taxonomy,S,research
848,Importing for Taxonomy (bulk import to assign to lists),Taxonomy,M,feature
849,Darwincore export,Export/Interop,M,feature
850,Export format for ML retraining,Export/Interop,M,feature
851,Research & document plan for easier data import from cameras/SD cards,Documentation,M,research
852,Documentation of how to re-train a model with data from Antenna,Documentation,M,documentation
853,Importing - Taxa lists,Taxonomy,M,feature
854,Importing - Data processed externally (Detections/Predictions),Data-Management,M,feature
855,Importing - Captures (import a list of public HTTP urls),Data-Management,M,feature
856,More obvious interlinking between occurrence detail and session detail,UI/UX,S,improvement
857,Consistent saving behavior,UI/UX,M,improvement
858,More quick buttons for processing & collections,UI/UX,S,feature
859,Regex null bug,UI/UX,XS,bug
860,Hovering toolbar in the session detail per occurrence?,UI/UX,M,feature
861,New release on GitHub,Community,S,improvement
862,Add to Wildlabs inventory,Community,S,improvement
863,Mailing list & regular updates,Community,M,improvement
864,Project manager,Community,XL,research
865,Taxonomy (Hierarchical categories/Many taxonomic ranks),Taxonomy,L,feature
866,Time series images (specific automated captured),Analytics/Viz,M,feature
